id,user_name,post_message,timestamp_post,num_like_post,num_comment_post,num_share_post,label
1,389c669730cb6c54314a46be785cea42,"THĂNG CẤP BẬC HÀM ĐỐI VỚI 2 CÁN BỘ, CHIẾN SỸ HY SINH Ở ĐÀ NẴNG

Ngày 3/4, Đại tướng Tô Lâm, Bộ trưởng Bộ Công an đã ký quyết định số 2398/QĐ-BCA-X01 thăng cấp bậc hàm từ Đại úy lên Thiếu tá đối với đồng chí Đặng Thanh Tuấn.

Cùng ngày, Thiếu tướng Vũ Xuân Viên, Giám đốc Công an thành phố Đà Nẵng ký Quyết định số 479/QĐ-CATP thăng cấp bậc hàm từ Trung sĩ lên thượng sỹ đối với đồng chí Võ Văn Toàn.

Đây là 2 cán bộ, chiến sỹ đã hy sinh trong quá trình thực hiện nhiệm vụ đảm bảo an ninh, trật tự, phòng, chống tội phạm trên địa bàn thành phố Đà Nẵng.

Trước đó, vào lúc 20h40 ngày 2/4/2020, Công an TP. Đà Nẵng nhận được tin báo của nhân dân có nhóm đối tượng đua xe và cướp giật người đi đường tại khu vực quận Sơn Trà, trong bối cảnh toàn quốc thực hiện cách ly xã hội theo Chỉ thị số 16 của Thủ tướng Chính phủ.

Công an TP. Đà Nẵng đã chỉ đạo cho Công an quận Sơn Trà triển khai lực lượng truy bắt nhóm đối tượng. Trong quá trình truy đuổi các đối tượng trên, Đại úy Đặng Thanh Tuấn và Trung sĩ Võ Văn Toàn bị tai nạn và hy sinh.
----------
Ảnh: TTXVN",1585945439,19477,378,173.0,0
2,775baa6d037b6d359b229a656eaeaf08,<URL>,1588939166.0,11,5,3,0
3,b9f3394d2aff86d85974f5040c401f08,"TƯ VẤN MÙA THI: Cách nộp hồ sơ để trúng tuyển cao nhất

Vào lúc 15 giờ ngày 6.6, chương trình Tư vấn mùa thi do Báo Thanh Niên thực hiện đã được truyền hình trên Đài Phát thanh- Truyền hình Bình Dương, đồng thời trực tuyến trên <URL>, Fanpage Facebook và kênh YouTube của Báo Thanh Niên.

    #TưVấnMùaThi #ThiTHPTQuốcgia #ThiTHPT2020",1591405213,48,5,19.0,0
4,808e278b22ec6b96f2faf7447d10cd8e,Cơ quan Cạnh tranh và Thị trường Anh quyết định mở cuộc điều tra thương vụ thâu tóm dịch vụ ảnh động Giphy với giá 400 triệu USD của Facebook.,1592023613,3,0,0.0,0
5,f81bdd6d8be4c5f64bb664214e47aced,Thêm 7 ca tại Quảng Nam liên quan đến hành khách trên cùng chuyến bay với bệnh nhân nhiễm thứ 17 cho kết quả âm tính với COVID-19.,1583737358,775,0,54.0,0
6,ffc4b6bab27c40cfc48e4dc8b8a41e42,"Trong giờ học Thể dụ‌c do thầy giáo Nguyễn Văn Quân phụ trác‌h, em D. đã bị thầy Quân “đi đường quyền” lên người dẫn đến việc bị ngấ‌t tại trường và sau đó đã được Ban giám hiệu nhà trường đưa đi cấp cứ‌u để điều trị.",1590466764.0,2,1,,0
7,1a5ef4d947dcd76af1b4b79e7350ad67,"Chủ đầu tư tại Hà Nội tung sản phẩm có mức giá trên dưới một tỷ đồng nhằm đón bắt người mua là các gia đình trẻ, có nhu cầu ở thực.
#SkyOasis     ",1589397858,25,1,1.0,0
8,4098686f73e5604976881c92b82bc90c,Luật sư Trần Hồng Phong cung cấp tình tiết mới vụ Hồ Duy Hải và cho rằng CQĐT khẳng định thời gian xảy ra vụ án khoảng 20h30' là mâu thuẫn.,1590629386.0,6,0,1,0
9,981e2b970947bd3edaf20a63579c06c8,"Hà Tĩnh nằm trong nhóm 'nguy cơ cao' gồm 12 tỉnh thành!
Chiều 15-4, Thứ trưởng Bộ Y tế Nguyễn Thanh Long cho biết Ban chỉ đạo Quốc gia phòng chống dịch COVID-19 chia các tỉnh - thành thành 3 nhóm: nguy cơ cao, có nguy cơ và có nguy cơ thấp để có giải pháp phòng chống dịch phù hợp.

Ban chỉ đạo phân loại nhóm các địa phương theo các tiêu chí như có đầu mối giao thông, mật độ di chuyển, đi lại lớn; có biên giới, nhiều người qua lại biên giới; những điểm trước đây có tiếp xúc rất nhiều với người nước ngoài; mật độ dân cư; mật độ các nhà máy, khu công nghiệp tập trung...

Trong đó, nhóm ""nguy cơ cao"" gồm 12 tỉnh thành gồm: <URL>, Hà Nội, Lào Cai, Quảng Ninh, Bắc Ninh, Ninh Bình, Đà Nẵng, Quảng Nam, Bình Thuận, Khánh Hòa, Tây Ninh và Hà Tĩnh.

Ban chỉ đạo kiến nghị những tỉnh này tiếp tục thực nghiêm các nội dung của chỉ thị 16 của Thủ tướng về các biện pháp cấp bách phòng, chống dịch COVID-19 ít nhất đến hết ngày 22-4.

Nhóm ""có nguy cơ"" gồm 15 tỉnh, thành: Bình Dương, Cần Thơ, Đồng Nai, Hà Nam, Kiên Giang, Nam Định, Hải Phòng, Sóc Trăng, Thái Nguyên, Thừa Thiên - Huế, Đồng Tháp, Bình Phước, Nghệ An, Lạng Sơn, An Giang. Các tỉnh, thành còn lại thuộc nhóm nguy cơ thấp.

Đối với hai nhóm này, Ban chỉ đạo kiến nghị Thủ tướng chỉ đạo cho một số hoạt động sản xuất kinh doanh được hoạt động có điều kiện trên cơ sở bảo đảm an toàn vệ sinh dịch tễ… Đồng thời, thực hiện các giải pháp hạn chế người dân ra khỏi nhà, nếu ra phải đeo khẩu trang, thường xuyên rửa tay.

Mặt khác, cấm tập trung đông người, kể cả các hoạt động tôn giáo, vui chơi giải trí.

Ban chỉ đạo cũng thống nhất sẽ đưa ra những yêu cầu bắt buộc đối với tất cả các tỉnh trong cả nước phải thực hiện nghiêm chỉnh như: đeo khẩu trang, không tập trung đông người, giữ khoảng cách, bảo đảm vệ sinh dịch tễ... Một số loại hình dịch vụ kinh doanh, vui chơi giải trí chưa được phép hoạt động.
Nguồn: <URL>
#hatinhit
#thachhaonline
#chamsocsausinhphuongmy
#beatthachha
#baithuocchuabenh
#caytrongvatnuoihatinh",1586951248.0,6,0,,0
10,bea6f4036aa4d8455d7b73a3e4f24ee5,"Nhiều người cho rằng, việc thực hiện tổng kiểm soát này theo ""mùa vụ"", chỉ có tác dụng trong thời điểm đó. Còn nếu làm thường xuyên, xử lý nghiêm thì không cần đến các đợt ""ra quân""...

",1589960663.0,6,0,,0
11,662ca1664ad3c1bfafdb9f50f9dc80dc,"Trong 1 vụ xô xát nhỏ thôi, em trai này bị bắt oan và bị tra tấn man rợ.

Công an Sóc Trăng có chiêu ướp đá vào chim, công an Đức Hòa không kém cạnh với chiêu xát ớt bột vào vùng kín. Thời trung cổ chắc cũng không thể nghĩ ra những trò này.

Vụ này xảy ra ở huyện Đức Hòa, Long An năm 2014 ( Lại là Long An quê mình). Vụ của Hồ Duy Hải năm 2008, chắc độ tàn bạo còn hơn nhiều.

***

Vậy nên ai còn tin vào các điều tra viên tỉnh Long An không dùng nhục hình với Hải giống như tin ông già Noel là có thật, hay tin Polpot là người có lòng từ bi.

Chỉ có 17 vị thẩm phán trên cao sáng ngời là tin tưởng tuyệt đối, bởi quyền lực và quyền lợi của họ được xây bằng muôn vạn án oan và biết bao sinh mạng con người.",1590039658.0,170,51,68,1
